Sample	total_reads	unpaired_total	unpaired_aligned_none	unpaired_aligned_one	unpaired_aligned_multi	overall_alignment_rate
MCC_171310461_10.err	3349838	3349838	25473	163741	3160624	99.24
MCC_171310461_11.err	1473725	1473725	8196	45820	1419709	99.44
MCC_171310461_12.err	1533548	1533548	7155	40401	1485992	99.53
MCC_171310461_2.err	2899564	2899564	33182	2804888	61494	98.86
MCC_171310461_3.err	12994236	12994236	135853	12597772	260611	98.95
MCC_171310461_4.err	9174877	9174877	113629	8852466	208782	98.76
MCC_171310461_5.err	5046396	5046396	77649	4855327	113420	98.46
MCC_171310461_6.err	4351483	4351483	67512	4191801	92170	98.45
MCC_171310461_8.err	288232	288232	3796	20463	263973	98.68
MCC_171310461_9.err	3467083	3467083	30156	199790	3237137	99.13
