Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
2488925_Hudep1_rep1_S1_R1_001	1.14	167617106	67276852	167617106	25310183006	799	24873837115	1.7239934254784344
2488925_Hudep1_rep1_S1_R2_001	1.14	167617106	67456998	167617106	25310183006	1576	24871979612	1.7313323807106415
2488926_Hudep2_rep1_S2_R1_001	1.14	165329922	61784411	165329922	24964818222	0	24627041200	1.3530121429137318
2488926_Hudep2_rep1_S2_R2_001	1.14	165329922	61545855	165329922	24964818222	924	24622114835	1.3727453729184218
2488927_Hudep2_175_rep1_S3_R1_001	1.14	108783467	42104197	108783467	16426303517	474	16138119002	1.7544088035494443
2488927_Hudep2_175_rep1_S3_R2_001	1.14	108783467	42819355	108783467	16426303517	999	16130571677	1.8003553854580832
2488928_Hudep1_rep2_S4_R1_001	1.14	159149272	60208560	159149272	24031540072	378	23670553281	1.5021375655428697
2488928_Hudep1_rep2_S4_R2_001	1.14	159149272	60212554	159149272	24031540072	2769	23666500047	1.5190038753501323
2488929_Hudep2_rep2_S5_R1_001	1.14	143394257	53326852	143394257	21652532807	659	21376685486	1.2739725345702833
2488929_Hudep2_rep2_S5_R2_001	1.14	143394257	52959777	143394257	21652532807	1786	21372881581	1.2915404793179308
