Sample	s_name	totalpairs	discardpairs	percdiscard	combopairs	inniepairs	outiepairs	uncombopairs	perccombo
HBG1_2_2488925_Hudep1_rep1_val_1	HBG1_2_2488925_Hudep1_rep1_val_1	167609374	0	0	141184160	0	0	26425214	84.23
HBG1_2_2488926_Hudep2_rep1_val_1	HBG1_2_2488926_Hudep2_rep1_val_1	165320775	0	0	138400565	0	0	26920210	83.72
HBG1_2_2488927_Hudep2_175_rep1_val_1	HBG1_2_2488927_Hudep2_175_rep1_val_1	108773102	0	0	92178799	0	0	16594303	84.74
HBG1_2_2488928_Hudep1_rep2_val_1	HBG1_2_2488928_Hudep1_rep2_val_1	159141468	0	0	137666923	0	0	21474545	86.51
HBG1_2_2488929_Hudep2_rep2_val_1	HBG1_2_2488929_Hudep2_rep2_val_1	143387507	0	0	122419036	0	0	20968471	85.38
HS3_2488925_Hudep1_rep1_val_1	HS3_2488925_Hudep1_rep1_val_1	167609374	0	0	141184160	0	0	26425214	84.23
HS3_2488926_Hudep2_rep1_val_1	HS3_2488926_Hudep2_rep1_val_1	165320775	0	0	138400565	0	0	26920210	83.72
HS3_2488927_Hudep2_175_rep1_val_1	HS3_2488927_Hudep2_175_rep1_val_1	108773102	0	0	92178799	0	0	16594303	84.74
HS3_2488928_Hudep1_rep2_val_1	HS3_2488928_Hudep1_rep2_val_1	159141468	0	0	137666923	0	0	21474545	86.51
HS3_2488929_Hudep2_rep2_val_1	HS3_2488929_Hudep2_rep2_val_1	143387507	0	0	122419036	0	0	20968471	85.38
