Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FLASh_mqc-generalstats-flash-combopairs	FLASh_mqc-generalstats-flash-perccombo	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate
2488925_Hudep1_rep1_S1_R1_001	1.7239934254784344			
2488925_Hudep1_rep1_S1_R2_001	1.7313323807106415			
2488926_Hudep2_rep1_S2_R1_001	1.3530121429137318			
2488926_Hudep2_rep1_S2_R2_001	1.3727453729184218			
2488927_Hudep2_175_rep1_S3_R1_001	1.7544088035494443			
2488927_Hudep2_175_rep1_S3_R2_001	1.8003553854580832			
2488928_Hudep1_rep2_S4_R1_001	1.5021375655428697			
2488928_Hudep1_rep2_S4_R2_001	1.5190038753501323			
2488929_Hudep2_rep2_S5_R1_001	1.2739725345702833			
2488929_Hudep2_rep2_S5_R2_001	1.2915404793179308			
HBG1_2_2488925_Hudep1_rep1_val_1		141184160	84.23	
HBG1_2_2488926_Hudep2_rep1_val_1		138400565	83.72	
HBG1_2_2488927_Hudep2_175_rep1_val_1		92178799	84.74	
HBG1_2_2488928_Hudep1_rep2_val_1		137666923	86.51	
HBG1_2_2488929_Hudep2_rep2_val_1		122419036	85.38	
HS3_2488925_Hudep1_rep1_val_1		141184160	84.23	
HS3_2488926_Hudep2_rep1_val_1		138400565	83.72	
HS3_2488927_Hudep2_175_rep1_val_1		92178799	84.74	
HS3_2488928_Hudep1_rep2_val_1		137666923	86.51	
HS3_2488929_Hudep2_rep2_val_1		122419036	85.38	
MCC_171310461_10.err				99.24
MCC_171310461_11.err				99.44
MCC_171310461_12.err				99.53
MCC_171310461_2.err				98.86
MCC_171310461_3.err				98.95
MCC_171310461_4.err				98.76
MCC_171310461_5.err				98.46
MCC_171310461_6.err				98.45
MCC_171310461_8.err				98.68
MCC_171310461_9.err				99.13
