Module	Section	Sample Name	Source
Bowtie 2 / HiSAT2	all_sections	MCC_171310461_3.err	/research_jude/rgs01_jude/groups/chenggrp/projects/blood_regulome/chenggrp/Projects/jchen6/Shared_Resources/weissgrp_283065_MCC/MicroC_yli11_2022-10-18/log_files/MCC_171310461_3.err
Bowtie 2 / HiSAT2	all_sections	MCC_171310461_6.err	/research_jude/rgs01_jude/groups/chenggrp/projects/blood_regulome/chenggrp/Projects/jchen6/Shared_Resources/weissgrp_283065_MCC/MicroC_yli11_2022-10-18/log_files/MCC_171310461_6.err
Bowtie 2 / HiSAT2	all_sections	MCC_171310461_2.err	/research_jude/rgs01_jude/groups/chenggrp/projects/blood_regulome/chenggrp/Projects/jchen6/Shared_Resources/weissgrp_283065_MCC/MicroC_yli11_2022-10-18/log_files/MCC_171310461_2.err
Bowtie 2 / HiSAT2	all_sections	MCC_171310461_9.err	/research_jude/rgs01_jude/groups/chenggrp/projects/blood_regulome/chenggrp/Projects/jchen6/Shared_Resources/weissgrp_283065_MCC/MicroC_yli11_2022-10-18/log_files/MCC_171310461_9.err
Bowtie 2 / HiSAT2	all_sections	MCC_171310461_8.err	/research_jude/rgs01_jude/groups/chenggrp/projects/blood_regulome/chenggrp/Projects/jchen6/Shared_Resources/weissgrp_283065_MCC/MicroC_yli11_2022-10-18/log_files/MCC_171310461_8.err
Bowtie 2 / HiSAT2	all_sections	MCC_171310461_5.err	/research_jude/rgs01_jude/groups/chenggrp/projects/blood_regulome/chenggrp/Projects/jchen6/Shared_Resources/weissgrp_283065_MCC/MicroC_yli11_2022-10-18/log_files/MCC_171310461_5.err
Bowtie 2 / HiSAT2	all_sections	MCC_171310461_10.err	/research_jude/rgs01_jude/groups/chenggrp/projects/blood_regulome/chenggrp/Projects/jchen6/Shared_Resources/weissgrp_283065_MCC/MicroC_yli11_2022-10-18/log_files/MCC_171310461_10.err
Bowtie 2 / HiSAT2	all_sections	MCC_171310461_4.err	/research_jude/rgs01_jude/groups/chenggrp/projects/blood_regulome/chenggrp/Projects/jchen6/Shared_Resources/weissgrp_283065_MCC/MicroC_yli11_2022-10-18/log_files/MCC_171310461_4.err
Bowtie 2 / HiSAT2	all_sections	MCC_171310461_12.err	/research_jude/rgs01_jude/groups/chenggrp/projects/blood_regulome/chenggrp/Projects/jchen6/Shared_Resources/weissgrp_283065_MCC/MicroC_yli11_2022-10-18/log_files/MCC_171310461_12.err
Bowtie 2 / HiSAT2	all_sections	MCC_171310461_11.err	/research_jude/rgs01_jude/groups/chenggrp/projects/blood_regulome/chenggrp/Projects/jchen6/Shared_Resources/weissgrp_283065_MCC/MicroC_yli11_2022-10-18/log_files/MCC_171310461_11.err
Cutadapt	all_sections	2488925_Hudep1_rep1_S1_R1_001	/research_jude/rgs01_jude/groups/chenggrp/projects/blood_regulome/chenggrp/Projects/jchen6/Shared_Resources/weissgrp_283065_MCC/MicroC_yli11_2022-10-18/log_files/MCC_171310461_9.err
Cutadapt	all_sections	2488925_Hudep1_rep1_S1_R2_001	/research_jude/rgs01_jude/groups/chenggrp/projects/blood_regulome/chenggrp/Projects/jchen6/Shared_Resources/weissgrp_283065_MCC/MicroC_yli11_2022-10-18/log_files/MCC_171310461_9.err
Cutadapt	all_sections	2488929_Hudep2_rep2_S5_R1_001	/research_jude/rgs01_jude/groups/chenggrp/projects/blood_regulome/chenggrp/Projects/jchen6/Shared_Resources/weissgrp_283065_MCC/MicroC_yli11_2022-10-18/log_files/MCC_171310461_12.err
Cutadapt	all_sections	2488929_Hudep2_rep2_S5_R2_001	/research_jude/rgs01_jude/groups/chenggrp/projects/blood_regulome/chenggrp/Projects/jchen6/Shared_Resources/weissgrp_283065_MCC/MicroC_yli11_2022-10-18/log_files/MCC_171310461_12.err
Cutadapt	all_sections	2488927_Hudep2_175_rep1_S3_R1_001	/research_jude/rgs01_jude/groups/chenggrp/projects/blood_regulome/chenggrp/Projects/jchen6/Shared_Resources/weissgrp_283065_MCC/MicroC_yli11_2022-10-18/log_files/MCC_171310461_8.err
Cutadapt	all_sections	2488927_Hudep2_175_rep1_S3_R2_001	/research_jude/rgs01_jude/groups/chenggrp/projects/blood_regulome/chenggrp/Projects/jchen6/Shared_Resources/weissgrp_283065_MCC/MicroC_yli11_2022-10-18/log_files/MCC_171310461_8.err
Cutadapt	all_sections	2488926_Hudep2_rep1_S2_R1_001	/research_jude/rgs01_jude/groups/chenggrp/projects/blood_regulome/chenggrp/Projects/jchen6/Shared_Resources/weissgrp_283065_MCC/MicroC_yli11_2022-10-18/log_files/MCC_171310461_11.err
Cutadapt	all_sections	2488926_Hudep2_rep1_S2_R2_001	/research_jude/rgs01_jude/groups/chenggrp/projects/blood_regulome/chenggrp/Projects/jchen6/Shared_Resources/weissgrp_283065_MCC/MicroC_yli11_2022-10-18/log_files/MCC_171310461_11.err
Cutadapt	all_sections	2488928_Hudep1_rep2_S4_R1_001	/research_jude/rgs01_jude/groups/chenggrp/projects/blood_regulome/chenggrp/Projects/jchen6/Shared_Resources/weissgrp_283065_MCC/MicroC_yli11_2022-10-18/log_files/MCC_171310461_4.err
Cutadapt	all_sections	2488928_Hudep1_rep2_S4_R2_001	/research_jude/rgs01_jude/groups/chenggrp/projects/blood_regulome/chenggrp/Projects/jchen6/Shared_Resources/weissgrp_283065_MCC/MicroC_yli11_2022-10-18/log_files/MCC_171310461_4.err
